                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0844,                 2.9869,                 3.7382,                0.80075,                0.22294,                0.30789,                0.08751,                  3.911,                 6.1526,                 4.0373,             0.00041199,             0.00041199,             0.00041199
                      2,                 2.0281,                 1.8959,                 2.5957,                0.15296,                 0.3706,                0.19217,                0.06356,                 2.5017,                 2.2647,                 2.8857,             0.00082045,             0.00082045,             0.00082045
                      3,                 1.6601,                 1.5378,                 2.1689,                 0.1826,                0.56143,                0.31554,                0.09037,                 2.3539,                 2.6977,                 3.2272,              0.0012207,              0.0012207,              0.0012207
                      4,                 1.5324,                 1.4176,                 2.0152,                0.77427,                0.54082,                   0.61,                0.22545,                 1.9398,                 2.1326,                 2.5178,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4374,                 1.2865,                 1.8915,                0.70295,                0.80415,                0.81446,                0.31496,                 1.8343,                 1.7742,                 2.3425,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3652,                  1.215,                 1.8266,                0.64206,                0.65923,                 0.6608,                0.28954,                 1.9644,                 1.3024,                  2.551,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3253,                 1.1558,                 1.7804,                0.85946,                 0.7574,                0.81251,                0.30147,                 1.9709,                 1.3336,                 2.6274,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2837,                 1.1056,                  1.743,                0.79553,                0.69232,                0.69459,                0.34072,                 1.7294,                 1.2549,                 2.2731,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2537,                 1.0521,                 1.7096,                0.82428,                0.82891,                0.81241,                0.36078,                 1.9014,                0.95861,                 2.5292,               0.001151,               0.001151,               0.001151
                     10,                 1.2425,                 1.0225,                 1.6852,                 0.7682,                 0.7543,                0.74182,                0.29679,                 1.8663,                 1.0377,                 2.3117,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2008,                0.98176,                 1.6558,                0.79362,                0.81295,                0.80608,                0.38394,                 1.6555,                 0.8914,                 2.1466,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1856,                0.95578,                 1.6398,                0.88491,                0.84393,                0.88482,                0.43473,                 1.6201,                0.95385,                 2.1252,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1751,                0.92553,                 1.6194,                 0.8109,                 0.8537,                0.79472,                0.37097,                 1.8313,                0.92095,                 2.3939,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1503,                0.91378,                 1.6036,                0.89613,                0.87909,                0.89413,                0.42687,                 1.6592,                0.85749,                 2.1729,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1388,                0.88686,                 1.5929,                0.84648,                0.89214,                0.90348,                0.44699,                 1.7766,                0.84775,                  2.233,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1156,                0.86533,                 1.5711,                0.90099,                 0.9301,                0.92759,                0.46959,                 1.6634,                0.76533,                 2.2158,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0963,                0.83624,                 1.5518,                0.89039,                0.91627,                0.89956,                0.43483,                 1.7897,                0.79923,                 2.3122,               0.001052,               0.001052,               0.001052
                     18,                 1.0839,                 0.8146,                  1.539,                0.90737,                0.93239,                0.92131,                0.48992,                 1.7013,                0.78333,                 2.1801,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0757,                0.80618,                 1.5313,                0.89866,                0.92785,                0.92316,                0.46216,                 1.8504,                0.84874,                 2.3107,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0595,                 0.7958,                 1.5246,                0.89941,                0.84816,                0.91483,                0.51333,                 1.5102,                0.80133,                 2.0557,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0495,                0.77205,                  1.513,                0.84745,                0.87248,                0.87642,                0.47669,                 1.6411,                0.72994,                 2.1719,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0288,                  0.749,                 1.4869,                0.91978,                0.87504,                0.93334,                0.51919,                  1.533,                0.73638,                 2.0581,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0164,                0.73465,                 1.4879,                0.88396,                0.92037,                 0.9037,                0.48773,                 1.5834,                0.75728,                 2.0367,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0279,                0.73941,                 1.4976,                0.88365,                0.88454,                 0.9106,                0.47284,                 1.6692,                0.72762,                 2.1987,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0015,                0.71488,                 1.4721,                0.89196,                0.85768,                0.89975,                0.50067,                 1.6558,                0.74109,                 2.1446,               0.000953,               0.000953,               0.000953
                     26,                 0.9939,                0.70024,                 1.4602,                 0.8837,                0.88767,                0.92462,                0.51373,                 1.6042,                0.71146,                 2.0903,             0.00094062,             0.00094062,             0.00094062
                     27,                0.98949,                0.69324,                 1.4715,                0.91914,                0.90843,                0.93072,                0.50565,                 1.6077,                0.68336,                 2.1611,             0.00092825,             0.00092825,             0.00092825
                     28,                0.97984,                0.68588,                 1.4626,                0.71804,                0.79984,                0.82706,                0.47015,                 1.6482,                0.85194,                 2.1481,             0.00091588,             0.00091588,             0.00091588
                     29,                0.96508,                 0.6835,                 1.4465,                0.78758,                0.78567,                 0.8052,                0.41453,                 1.7595,                0.85469,                 2.2854,              0.0009035,              0.0009035,              0.0009035
