                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9973,                 2.7688,                 3.6448,                0.00896,                0.73886,                0.03525,                0.01208,                 3.6581,                 3.1532,                 4.1402,             0.00041219,             0.00041219,             0.00041219
                      2,                 1.8893,                 1.7217,                 2.4232,                0.37728,                0.68301,                0.47801,                0.17577,                 2.7555,                 1.9535,                 3.0759,             0.00081244,             0.00081244,             0.00081244
                      3,                 1.5735,                 1.4177,                 2.0267,                0.58594,                0.46737,                0.47955,                0.17782,                 2.4198,                   2.04,                 2.9713,              0.0011962,              0.0011962,              0.0011962
                      4,                 1.4477,                 1.2998,                 1.8867,                0.37744,                0.60729,                0.59428,                 0.3058,                 1.5678,                 2.1097,                 2.2136,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3603,                 1.1937,                 1.7844,                0.71947,                0.56778,                0.65372,                 0.3708,                 1.5169,                 1.2175,                 2.1149,               0.001151,               0.001151,               0.001151
                      6,                 1.3049,                 1.1129,                 1.7275,                0.60041,                0.53994,                0.47576,                0.21109,                 1.6779,                 1.6034,                  2.326,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2754,                 1.0742,                 1.6964,                0.59175,                 0.6864,                0.63401,                0.34954,                  1.478,                 1.1634,                  2.049,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2296,                 1.0199,                 1.6559,                0.47697,                0.75068,                0.60592,                0.33271,                 1.5833,                 1.3977,                 2.1426,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.1898,                0.98232,                 1.6198,                0.60578,                0.78167,                0.71943,                0.34985,                 1.7015,                 1.2243,                 2.2008,               0.001052,               0.001052,               0.001052
                     10,                 1.1687,                0.95301,                 1.5884,                 0.6466,                0.79443,                0.72575,                0.30726,                 1.7476,                 1.3914,                 2.2025,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1355,                0.90459,                 1.5671,                0.63168,                 0.7791,                0.70332,                0.37616,                 1.4903,                 1.2052,                 2.0408,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1198,                0.87756,                 1.5503,                0.42673,                  0.614,                0.58495,                0.32926,                 1.6307,                 1.4712,                 2.1383,             0.00097775,             0.00097775,             0.00097775
