                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1004,                 2.9947,                 3.7438,                0.00507,                0.61001,                0.01194,                0.00433,                 2.7613,                 4.6417,                 3.9158,             0.00041237,             0.00041237,             0.00041237
                      2,                 2.1565,                 1.9646,                 2.5778,                0.48369,                0.55862,                0.38119,                0.17636,                 2.2654,                 2.5401,                 2.9507,             0.00081262,             0.00081262,             0.00081262
                      3,                 1.6758,                 1.5952,                 2.0916,                 0.5309,                 0.4748,                0.42177,                0.15108,                 2.0942,                 2.2036,                  2.817,              0.0011964,              0.0011964,              0.0011964
                      4,                 1.4907,                 1.4026,                 1.8858,                0.53479,                0.43773,                0.33958,                0.15735,                 2.0095,                 2.2566,                 2.5259,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3907,                 1.2686,                 1.7752,                0.40296,                0.67308,                0.54194,                0.22011,                 1.8202,                 1.4832,                 2.4467,               0.001151,               0.001151,               0.001151
                      6,                  1.328,                 1.1841,                   1.71,                0.38379,                0.52643,                0.47036,                0.22213,                 1.8436,                 1.6246,                 2.4201,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2857,                 1.1255,                 1.6704,                0.53277,                 0.7057,                0.58293,                0.30045,                 1.7313,                 1.5278,                 2.2484,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2641,                 1.0912,                 1.6363,                0.44762,                0.60293,                 0.5382,                 0.2362,                 1.7784,                  1.505,                 2.2635,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2358,                 1.0439,                  1.609,                0.62826,                 0.6671,                0.65658,                0.35959,                 1.7507,                 1.3651,                 2.2287,               0.001052,               0.001052,               0.001052
                     10,                 1.1938,                0.98699,                 1.5701,                0.62847,                0.73253,                0.68133,                0.37107,                 1.8419,                 1.4391,                 2.2398,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1746,                0.95952,                 1.5488,                0.59381,                0.75546,                0.64691,                0.34175,                 1.8653,                 1.3844,                 2.2922,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1552,                0.93321,                 1.5338,                0.52725,                0.75013,                0.63622,                0.33286,                  1.773,                 1.4697,                 2.2237,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1407,                0.91117,                 1.5243,                 0.5548,                0.68351,                0.61695,                0.27611,                 1.8651,                 1.3682,                 2.2829,               0.000953,               0.000953,               0.000953
                     14,                 1.1235,                0.88878,                 1.5049,                0.50786,                0.68858,                0.54364,                0.21022,                 2.0362,                 1.4038,                  2.437,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0996,                0.87295,                 1.4866,                0.58845,                 0.7592,                0.70295,                0.35362,                 1.7598,                  1.408,                 2.1337,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0906,                0.85193,                 1.4746,                0.45753,                0.72821,                0.52685,                0.24238,                 1.8656,                 1.3505,                 2.2847,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0743,                0.83785,                 1.4621,                0.54165,                 0.6775,                0.58617,                0.31261,                 1.7813,                 1.2472,                 2.0898,               0.000854,               0.000854,               0.000854
                     18,                 1.0622,                0.81979,                  1.451,                 0.5359,                0.76616,                0.61396,                0.33262,                 1.6914,                 1.2357,                 2.0699,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0529,                0.81392,                 1.4491,                 0.6213,                 0.7373,                0.70478,                0.38359,                 1.7674,                 1.1138,                 2.1399,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0351,                0.78346,                 1.4252,                0.62987,                0.70224,                0.66476,                0.35547,                 1.8391,                 1.2168,                 2.1932,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0218,                 0.7706,                 1.4226,                0.61061,                0.74773,                0.68899,                0.32061,                 1.7816,                 1.1568,                 2.2049,               0.000755,               0.000755,               0.000755
                     22,                 1.0168,                0.76635,                 1.4232,                0.48803,                 0.7806,                0.61817,                0.30891,                 1.7981,                 1.2295,                 2.1586,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.0084,                0.74572,                 1.4067,                 0.7054,                0.55649,                0.65451,                0.32234,                 1.9384,                  1.118,                 2.3163,              0.0007055,              0.0007055,              0.0007055
                     24,                0.99471,                0.72988,                 1.3977,                0.54222,                0.75715,                0.66797,                0.37248,                 1.8175,                 1.2382,                 2.1816,             0.00068075,             0.00068075,             0.00068075
                     25,                0.98672,                0.73413,                 1.4008,                0.62352,                0.70436,                0.68103,                0.35604,                 1.7823,                  1.091,                 2.0978,               0.000656,               0.000656,               0.000656
                     26,                0.97611,                0.71611,                 1.3913,                0.59418,                0.73897,                0.63112,                0.27888,                 2.0492,                  1.155,                 2.4054,             0.00063125,             0.00063125,             0.00063125
                     27,                0.97339,                 0.7125,                  1.383,                 0.4634,                0.76086,                0.63051,                0.33444,                 1.8673,                 1.2212,                 2.2957,              0.0006065,              0.0006065,              0.0006065
