                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1357,                 3.0331,                 3.7938,                0.00964,                0.62378,                0.06874,                0.02352,                 3.2203,                 4.2626,                  4.071,             0.00041209,             0.00041209,             0.00041209
                      2,                 2.2468,                 2.0423,                 2.6817,                0.82926,                0.40257,                0.47084,                0.21514,                 1.8338,                  1.914,                 2.4689,             0.00081235,             0.00081235,             0.00081235
                      3,                 1.7637,                 1.6498,                 2.1643,                0.62166,                0.55051,                0.52458,                0.26785,                 1.6401,                 1.6888,                 2.2339,              0.0011961,              0.0011961,              0.0011961
                      4,                 1.5626,                 1.4532,                 1.9475,                0.75185,                 0.6653,                0.70484,                0.31853,                 1.6976,                 1.5736,                 2.1463,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4507,                 1.3164,                 1.8152,                0.67372,                0.52968,                0.57674,                0.29666,                 1.8367,                 1.6905,                 2.2251,               0.001151,               0.001151,               0.001151
                      6,                 1.4002,                 1.2551,                 1.7677,                 0.8967,                 0.4078,                0.48346,                0.27508,                  1.783,                 1.6038,                 2.2579,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3388,                 1.1837,                 1.7072,                0.74574,                0.77533,                0.79895,                0.43725,                 1.5013,                 1.2434,                 1.8855,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3011,                 1.1456,                 1.6756,                0.72294,                0.53755,                0.65189,                0.29314,                 1.9765,                 1.3985,                 2.3656,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2746,                 1.0937,                 1.6506,                0.69917,                0.78461,                 0.8163,                0.51322,                 1.3234,                 1.0331,                 1.7489,               0.001052,               0.001052,               0.001052
                     10,                 1.2285,                 1.0417,                 1.6097,                0.71147,                0.76014,                0.75364,                0.50367,                 1.3909,                 1.0985,                 1.7897,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2112,                 1.0123,                 1.5829,                0.80719,                 0.8334,                0.84845,                0.48114,                 1.3779,                 1.0527,                 1.7417,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1857,                0.97711,                  1.563,                0.73975,                0.81484,                0.84957,                0.50129,                 1.4172,                0.95888,                 1.7572,             0.00097775,             0.00097775,             0.00097775
