                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9931,                 2.7458,                 3.6308,                0.02259,                0.23846,                0.04195,                0.01214,                 2.5939,                 4.4921,                 3.5926,             0.00041237,             0.00041237,             0.00041237
                      2,                 1.8186,                 1.6541,                 2.3552,                0.33254,                 0.7802,                0.41959,                0.19057,                 1.8252,                 2.1844,                 2.5707,             0.00081262,             0.00081262,             0.00081262
                      3,                 1.5147,                 1.3744,                 1.9699,                0.77883,                 0.3509,                0.29342,                0.13578,                 2.1404,                 1.9811,                 2.8476,              0.0011964,              0.0011964,              0.0011964
                      4,                 1.4057,                 1.2427,                  1.837,                0.42946,                0.29122,                0.18276,                0.07369,                 2.3393,                  2.585,                 3.1508,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3173,                 1.1357,                 1.7339,                0.59992,                0.45394,                0.41828,                 0.1987,                 2.0042,                 1.6725,                 2.7965,               0.001151,               0.001151,               0.001151
                      6,                 1.2611,                 1.0697,                 1.6763,                0.62229,                0.62852,                0.65385,                0.27184,                 2.2403,                 1.1942,                 2.9359,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2023,                 1.0157,                 1.6347,                0.60721,                0.51703,                0.56462,                 0.2608,                 2.1778,                  1.195,                 3.0346,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.1682,                0.96869,                 1.6025,                0.57868,                0.52981,                   0.58,                0.29916,                 1.8321,                 1.1341,                 2.5233,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.1499,                 0.9292,                 1.5832,                0.59747,                0.64389,                0.67165,                0.30034,                 2.2296,                 1.1899,                 3.0047,               0.001052,               0.001052,               0.001052
                     10,                 1.1221,                0.88697,                 1.5474,                0.56715,                 0.5334,                0.59659,                 0.2622,                 2.0649,                 1.2105,                 2.7582,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1023,                0.86005,                 1.5343,                0.57853,                0.56361,                0.61608,                0.23121,                 2.3384,                 1.3404,                 3.2107,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.0753,                0.82434,                 1.5134,                0.65925,                0.59392,                0.67664,                0.28985,                 2.2387,                 1.1675,                 2.9182,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.0608,                0.81889,                 1.4991,                0.62999,                  0.447,                0.46188,                0.19465,                 2.3351,                 1.4074,                 3.0688,               0.000953,               0.000953,               0.000953
                     14,                 1.0539,                0.79058,                 1.4968,                0.57306,                 0.5619,                 0.5848,                0.25153,                   2.31,                 1.0387,                 3.1955,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0293,                0.77919,                 1.4769,                0.61226,                 0.5501,                0.61799,                0.28356,                 2.2628,                 1.1598,                 3.0325,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0197,                0.75642,                 1.4613,                0.65827,                0.58295,                0.64821,                0.25033,                 2.4261,                 1.0624,                 3.2376,             0.00087875,             0.00087875,             0.00087875
                     17,                  1.006,                0.74387,                 1.4578,                 0.6606,                0.59737,                0.67276,                0.30465,                 2.1726,                 1.0413,                 3.0204,               0.000854,               0.000854,               0.000854
                     18,                 0.9861,                 0.7258,                 1.4387,                0.64985,                0.59787,                0.66337,                0.25419,                  2.464,                 1.0811,                  3.288,             0.00082925,             0.00082925,             0.00082925
                     19,                0.97042,                0.69719,                 1.4325,                0.59835,                0.56381,                0.66687,                 0.2717,                 2.2687,                  1.139,                 3.0867,              0.0008045,              0.0008045,              0.0008045
                     20,                0.96687,                0.68648,                 1.4225,                0.59636,                 0.5151,                0.57416,                 0.2453,                 2.4124,                 1.1316,                 3.1995,             0.00077975,             0.00077975,             0.00077975
                     21,                0.95031,                0.67576,                 1.4166,                0.67927,                0.64986,                0.69703,                0.32877,                 2.1412,                0.97985,                 2.9171,               0.000755,               0.000755,               0.000755
                     22,                0.94968,                0.67708,                 1.4185,                0.64603,                0.61543,                0.68632,                0.25968,                 2.2887,                 1.0613,                 3.1284,             0.00073025,             0.00073025,             0.00073025
                     23,                0.92913,                0.66084,                 1.3998,                0.68035,                0.54937,                0.68708,                0.25856,                 2.3903,                 1.1628,                  3.221,              0.0007055,              0.0007055,              0.0007055
                     24,                 0.9309,                0.65565,                 1.3964,                0.59385,                0.62446,                0.64574,                0.26447,                 2.4081,                 1.0841,                 3.2047,             0.00068075,             0.00068075,             0.00068075
