                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0915,                 3.0262,                 3.7722,                0.00905,                0.61062,                0.21676,                0.05121,                 3.4486,                  3.592,                 3.8679,             0.00041219,             0.00041219,             0.00041219
                      2,                 2.2054,                 2.0271,                 2.6646,                0.25727,                0.54761,                0.40688,                0.18351,                 2.2588,                 2.1006,                 2.8493,             0.00081244,             0.00081244,             0.00081244
                      3,                 1.7234,                 1.6143,                 2.1561,                0.72608,                0.57089,                0.61832,                0.27537,                 2.0111,                 1.6306,                 2.4087,              0.0011962,              0.0011962,              0.0011962
                      4,                 1.5309,                 1.4338,                 1.9476,                  0.445,                 0.5934,                0.56052,                0.29488,                 1.6679,                 1.6533,                 2.2858,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.442,                 1.3131,                 1.8265,                0.75233,                0.59787,                0.67061,                0.30464,                  1.982,                 1.4718,                 2.3687,               0.001151,               0.001151,               0.001151
                      6,                 1.3614,                 1.2302,                 1.7536,                0.72972,                0.53138,                0.59356,                0.35055,                 1.3975,                 1.3137,                 1.9116,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3253,                 1.1729,                 1.7144,                0.66002,                0.66816,                0.70294,                 0.3726,                 1.4808,                 1.3181,                  1.934,              0.0011015,              0.0011015,              0.0011015
                      8,                   1.29,                 1.1299,                 1.6799,                0.74452,                0.68492,                0.76533,                0.36664,                 1.6975,                 1.3201,                 2.1372,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2613,                 1.0777,                 1.6464,                0.66652,                0.79685,                0.70043,                0.35547,                 1.7777,                 1.3973,                 2.0542,               0.001052,               0.001052,               0.001052
                     10,                 1.2354,                 1.0422,                 1.6106,                0.68915,                0.74684,                0.73957,                0.41775,                 1.4291,                 1.1186,                 1.8153,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2046,                 1.0012,                 1.5913,                 0.6492,                0.79248,                0.76119,                0.37648,                 1.6327,                 1.0898,                 1.9503,              0.0010025,              0.0010025,              0.0010025
