                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0774,                   2.96,                 3.7318,                0.79166,                0.23344,                0.11451,                  0.027,                 3.2818,                 5.7143,                 4.0921,             0.00041176,             0.00041176,             0.00041176
                      2,                 1.9712,                  1.791,                 2.5215,                0.47418,                0.41387,                0.33091,                0.15033,                 1.9738,                 2.5294,                 2.8091,             0.00082023,             0.00082023,             0.00082023
                      3,                 1.6341,                 1.4457,                 2.0999,                0.42893,                0.39267,                0.23619,                0.10742,                 2.1158,                 3.2914,                 2.9837,              0.0012204,              0.0012204,              0.0012204
                      4,                 1.5095,                 1.3466,                 1.9487,                0.30067,                0.62468,                0.50181,                0.24776,                 1.9316,                 1.9001,                 2.6894,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4125,                  1.218,                  1.822,                0.44034,                0.64446,                 0.5135,                0.25367,                 1.8034,                 1.6833,                 2.5448,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.347,                 1.1328,                 1.7526,                0.66468,                 0.4971,                0.63965,                0.30212,                 1.9217,                 1.7477,                 2.6425,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3145,                 1.0858,                 1.7191,                0.44316,                0.78394,                0.61544,                0.31224,                 1.7591,                 1.5136,                 2.5113,              0.0011757,              0.0011757,              0.0011757
                      8,                  1.293,                  1.047,                 1.7037,                0.45315,                0.83315,                0.60258,                0.24345,                 2.0667,                 1.7558,                 2.8586,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2503,                 1.0014,                 1.6626,                0.66833,                0.84218,                0.85402,                0.44101,                 1.8708,                 1.1635,                 2.5358,               0.001151,               0.001151,               0.001151
                     10,                 1.2204,                0.95741,                 1.6226,                0.70475,                0.87341,                0.82593,                0.43543,                 1.7946,                  1.137,                  2.501,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2073,                0.93341,                 1.6088,                0.67498,                0.80757,                0.76386,                 0.3692,                 1.9476,                 1.2061,                 2.6194,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1731,                0.90325,                 1.5899,                0.60184,                0.78801,                0.68694,                0.35222,                 1.7792,                 1.3185,                 2.4815,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1495,                0.87772,                 1.5541,                0.66628,                 0.8386,                0.81376,                0.43407,                  1.803,                 1.2013,                 2.4829,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1502,                0.86937,                 1.5538,                0.69121,                0.82919,                0.82312,                0.45748,                  1.735,                 1.1587,                 2.3916,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1265,                0.82475,                 1.5315,                0.62418,                0.79418,                0.68239,                0.33737,                 2.1488,                   1.47,                 2.8321,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1234,                0.82896,                 1.5361,                0.68155,                0.79184,                0.77913,                0.41539,                 2.0255,                 1.3569,                 2.6307,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1058,                0.81287,                 1.5253,                0.68544,                0.84379,                0.76113,                0.37466,                 1.8633,                  1.163,                 2.5811,               0.001052,               0.001052,               0.001052
                     18,                 1.1056,                  0.802,                 1.5203,                0.76279,                0.78014,                0.83305,                0.43331,                 2.1177,                 1.2624,                 2.7364,              0.0010396,              0.0010396,              0.0010396
