                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0076,                  2.726,                 3.6363,                0.02339,                0.67226,                0.02501,                0.00763,                  3.339,                 4.2333,                 4.0978,             0.00041233,             0.00041233,             0.00041233
                      2,                 1.8655,                  1.675,                 2.3874,                0.33455,                0.85624,                0.62722,                0.32081,                 1.7691,                   1.68,                 2.4486,             0.00081258,             0.00081258,             0.00081258
                      3,                 1.5615,                 1.3884,                 2.0253,                0.52554,                0.71855,                0.70447,                 0.3884,                 1.3863,                 1.6446,                 2.0059,              0.0011963,              0.0011963,              0.0011963
                      4,                 1.4387,                 1.2551,                 1.8798,                0.76511,                0.82687,                0.86375,                0.47902,                 1.5227,                 1.4623,                 2.2271,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3681,                 1.1485,                 1.7869,                0.76524,                0.74825,                0.84594,                0.49898,                 1.3612,                 1.3306,                 2.0074,               0.001151,               0.001151,               0.001151
                      6,                 1.2953,                 1.0727,                 1.7159,                0.75404,                0.87756,                0.88539,                 0.5075,                 1.5044,                 1.1523,                 2.1326,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2607,                 1.0371,                 1.6901,                0.74741,                0.85059,                0.88619,                0.50238,                 1.4914,                 1.0529,                 2.0987,              0.0011015,              0.0011015,              0.0011015
                      8,                  1.218,                0.97491,                 1.6443,                0.82023,                 0.8702,                0.90251,                  0.552,                 1.4997,                 1.0846,                 2.0925,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.1932,                0.93353,                 1.6216,                0.85063,                0.92897,                0.96044,                0.57657,                 1.4094,                 1.0198,                 1.9724,               0.001052,               0.001052,               0.001052
                     10,                 1.1605,                0.89825,                 1.5902,                0.70172,                0.89692,                0.87451,                0.49693,                 1.6176,                 1.0932,                 2.2145,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1423,                0.86834,                 1.5727,                 0.7511,                0.90356,                0.90076,                0.50657,                 1.7511,                0.92691,                 2.3409,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1179,                0.82758,                   1.55,                0.78391,                0.92399,                0.87268,                0.50221,                 1.7572,                0.94308,                 2.2936,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.0937,                0.81384,                 1.5341,                0.79134,                0.94099,                0.87757,                0.49309,                 1.6102,                0.97716,                 2.2081,               0.000953,               0.000953,               0.000953
                     14,                 1.0873,                0.79577,                 1.5327,                0.77987,                0.93261,                0.89458,                0.52245,                 1.5918,                0.92014,                 2.1439,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0681,                0.76665,                 1.5165,                  0.774,                0.88172,                0.87445,                0.48296,                 1.6865,                0.93827,                 2.2387,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0617,                0.75509,                 1.5036,                0.79916,                0.91809,                0.93862,                0.54976,                 1.6245,                0.87429,                 2.1871,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0384,                 0.7415,                 1.4863,                0.84975,                0.80567,                 0.8589,                 0.4892,                 1.6334,                0.91184,                 2.1296,               0.000854,               0.000854,               0.000854
                     18,                 1.0274,                  0.724,                 1.4752,                0.77247,                0.85804,                 0.8959,                0.51829,                 1.6351,                      1,                 2.1772,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0038,                0.71571,                 1.4588,                0.76371,                0.86344,                0.88759,                0.50266,                 1.6989,                0.97724,                 2.2775,              0.0008045,              0.0008045,              0.0008045
                     20,                0.99602,                0.69143,                 1.4459,                0.86474,                0.88118,                0.92544,                0.54825,                 1.5845,                0.86089,                 2.1214,             0.00077975,             0.00077975,             0.00077975
                     21,                0.98628,                0.68675,                  1.443,                0.79743,                0.83674,                0.86662,                0.48577,                 1.6708,                 1.0195,                 2.2311,               0.000755,               0.000755,               0.000755
                     22,                0.97582,                0.67091,                 1.4418,                0.80689,                0.81912,                0.85864,                0.46713,                 1.6781,                0.92755,                 2.2893,             0.00073025,             0.00073025,             0.00073025
                     23,                0.95868,                0.65335,                  1.424,                 0.7716,                 0.8828,                 0.8192,                0.47277,                 1.5875,                0.88142,                 2.1474,              0.0007055,              0.0007055,              0.0007055
                     24,                0.94741,                0.65146,                 1.4116,                 0.7677,                0.83933,                0.79406,                0.45008,                  1.704,                0.91491,                 2.2932,             0.00068075,             0.00068075,             0.00068075
                     25,                 0.9342,                0.63823,                 1.4023,                0.76587,                0.87712,                0.83951,                0.46858,                 1.6984,                0.86199,                 2.2748,               0.000656,               0.000656,               0.000656
                     26,                0.93377,                0.62035,                 1.4039,                0.76413,                 0.8382,                0.83693,                0.49836,                 1.5929,                0.90923,                 2.1618,             0.00063125,             0.00063125,             0.00063125
                     27,                0.92028,                0.62422,                 1.3915,                 0.7879,                0.88293,                0.81878,                0.46264,                 1.7534,                0.88183,                 2.3878,              0.0006065,              0.0006065,              0.0006065
                     28,                0.90495,                0.60738,                 1.3782,                0.76425,                0.86448,                0.83627,                0.48747,                 1.6785,                0.83769,                 2.2565,             0.00058175,             0.00058175,             0.00058175
                     29,                0.89302,                0.59875,                 1.3728,                0.77665,                0.87405,                0.85422,                0.49776,                 1.6399,                0.88388,                 2.2674,               0.000557,               0.000557,               0.000557
