                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0944,                 2.9706,                 3.7317,                0.00372,                0.50212,                0.00644,                0.00187,                 3.2699,                 4.7343,                 4.1582,             0.00041188,             0.00041188,             0.00041188
                      2,                 2.0813,                 1.8727,                 2.6077,                0.52338,                0.64848,                 0.5667,                0.25063,                  1.701,                 3.3631,                 2.7195,             0.00082034,             0.00082034,             0.00082034
                      3,                 1.7014,                 1.5101,                 2.1733,                 0.3556,                0.65585,                0.62748,                0.28427,                 1.7749,                 2.2977,                  2.634,              0.0012206,              0.0012206,              0.0012206
                      4,                 1.5653,                 1.3904,                 2.0236,                0.39062,                0.61387,                0.52878,                0.26961,                  1.657,                 2.0466,                 2.3184,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4666,                 1.2443,                 1.8926,                0.74519,                 0.6469,                0.73008,                0.35947,                 1.6127,                 1.4192,                 2.3241,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3844,                 1.1512,                 1.8104,                0.61901,                 0.7309,                0.69898,                0.44083,                 1.6549,                 1.2328,                 2.2983,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3682,                 1.1217,                 1.7982,                0.59879,                0.67735,                0.62125,                0.30356,                 2.0038,                 1.3454,                 2.5661,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3293,                 1.0687,                 1.7535,                0.70509,                  0.827,                0.81545,                0.45257,                 1.5724,                 1.0429,                  2.172,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2973,                 1.0032,                 1.7189,                0.70906,                0.85234,                0.84051,                0.48808,                 1.7045,                 1.1656,                 2.2985,               0.001151,               0.001151,               0.001151
                     10,                 1.2641,                0.95598,                  1.685,                 0.7531,                0.85426,                0.84522,                0.47071,                 1.6201,                 1.0654,                 2.2221,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2409,                0.92844,                 1.6769,                0.77435,                0.88187,                0.85183,                0.47355,                  1.781,                 1.0102,                 2.3642,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2261,                0.90474,                 1.6551,                0.78149,                0.88133,                0.84705,                0.46698,                 1.6893,                0.90209,                 2.2816,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1774,                0.84774,                 1.6132,                0.76082,                0.89527,                0.84187,                0.45418,                 1.7401,                0.96545,                 2.3329,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1764,                0.83518,                  1.608,                0.66726,                0.81447,                 0.7759,                0.43538,                 1.8664,                 1.0665,                  2.522,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1734,                0.81768,                 1.6031,                0.76561,                0.87624,                0.88989,                0.49961,                  1.704,                0.95375,                  2.285,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1462,                0.78744,                 1.5794,                0.73412,                0.87837,                 0.8424,                0.43083,                 1.8964,                0.93728,                 2.4528,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1663,                0.81588,                 1.6013,                0.80002,                0.89566,                0.89259,                0.49056,                 1.6242,                0.81416,                 2.1184,               0.001052,               0.001052,               0.001052
                     18,                 1.1253,                0.77654,                  1.562,                0.76192,                0.91736,                 0.8808,                0.51131,                 1.6649,                0.84186,                 2.2236,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0907,                0.75342,                 1.5396,                0.85106,                0.87778,                0.89264,                0.50143,                 1.5256,                0.80961,                 2.0982,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0931,                0.73693,                 1.5407,                0.86221,                0.81877,                0.90984,                0.50868,                 1.7089,                0.84772,                 2.2765,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0766,                0.71221,                 1.5225,                0.68737,                0.83722,                0.81597,                0.45979,                 1.7385,                0.91731,                 2.3573,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0778,                0.71026,                 1.5136,                0.74801,                0.88767,                0.82375,                0.43656,                 1.8584,                0.91364,                 2.4912,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0484,                0.71164,                 1.4868,                0.75852,                0.90444,                0.88396,                0.49978,                  1.595,                0.76033,                  2.187,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0422,                0.68861,                 1.5024,                0.71389,                0.88981,                0.80417,                0.45402,                 1.6502,                 0.8822,                 2.2592,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0594,                0.71194,                 1.5097,                0.74806,                0.91055,                0.90643,                0.50573,                  1.656,                0.93716,                 2.2029,               0.000953,               0.000953,               0.000953
                     26,                  1.019,                0.66125,                 1.4707,                0.75411,                0.88238,                 0.8454,                0.46588,                 1.7175,                0.82525,                 2.3453,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0064,                0.65286,                 1.4613,                0.76909,                0.86773,                0.89493,                0.53181,                 1.5506,                0.94371,                 2.0733,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0074,                0.64909,                 1.4677,                0.85041,                0.87067,                 0.8831,                0.48088,                 1.6946,                  0.788,                 2.2636,             0.00091588,             0.00091588,             0.00091588
