                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1432,                 3.0265,                 3.7628,                0.76456,                0.18266,                0.03302,                0.00969,                 2.9651,                 5.6025,                 3.8053,             0.00041159,             0.00041159,             0.00041159
                      2,                 2.0694,                  1.873,                 2.6124,                0.88839,                0.36027,                0.46147,                0.25934,                 1.8952,                 1.9583,                 2.5918,             0.00082005,             0.00082005,             0.00082005
                      3,                 1.7085,                 1.5177,                 2.1745,                0.31388,                0.67706,                 0.5505,                0.29556,                 1.6123,                 1.8937,                  2.273,              0.0012203,              0.0012203,              0.0012203
                      4,                 1.5809,                 1.4229,                  2.033,                0.63198,                0.54683,                0.54217,                0.28421,                 1.5947,                 1.9111,                 2.2249,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.486,                 1.2928,                 1.9145,                0.59854,                 0.6767,                0.64055,                0.36528,                 1.4432,                 1.4957,                 2.0462,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.428,                   1.21,                 1.8515,                0.54878,                0.61608,                0.56993,                0.31879,                 1.8717,                  1.491,                 2.5444,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3793,                 1.1506,                 1.7922,                0.61308,                0.58528,                0.63893,                0.40298,                 1.3827,                 1.2879,                 1.9829,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3301,                 1.1005,                 1.7488,                0.66241,                0.80932,                0.81838,                0.45658,                 1.4331,                 1.3113,                 2.0046,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2961,                 1.0661,                 1.7202,                 0.6346,                0.80127,                0.79219,                0.47658,                 1.3811,                 1.1321,                 1.9849,               0.001151,               0.001151,               0.001151
                     10,                 1.2817,                 1.0398,                 1.6886,                0.57603,                0.74305,                0.75106,                0.47803,                 1.2914,                 1.1584,                 1.8924,              0.0011386,              0.0011386,              0.0011386
                     11,                   1.24,                0.98442,                 1.6556,                 0.8678,                0.81424,                0.87034,                0.52339,                  1.409,                 1.0029,                 1.9635,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.233,                0.96934,                 1.6497,                0.76081,                0.67426,                0.79123,                0.41137,                 1.4212,                 1.1962,                 1.9911,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2156,                0.93944,                 1.6285,                0.83554,                0.78658,                0.85963,                0.50701,                 1.3975,                 1.0749,                 1.9535,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1756,                0.89838,                 1.5947,                0.87831,                0.82449,                0.88553,                0.46602,                 1.5418,                0.94481,                 2.0921,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1513,                0.87471,                 1.5737,                0.71512,                0.74943,                0.73515,                 0.5159,                 1.3572,                 0.9714,                 1.9449,              0.0010768,              0.0010768,              0.0010768
