                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1024,                 2.9985,                 3.7623,                0.00714,                0.65462,                0.04592,                0.01096,                 3.1495,                 4.3665,                 3.9796,             0.00041237,             0.00041237,             0.00041237
                      2,                 2.1699,                 1.9697,                 2.5933,                0.26839,                0.34894,                0.28364,                0.09807,                 2.1928,                 2.2976,                 3.0149,             0.00081262,             0.00081262,             0.00081262
                      3,                 1.6597,                 1.5824,                 2.0822,                0.64945,                0.39896,                0.35907,                0.15448,                 1.8919,                  2.205,                 2.5216,              0.0011964,              0.0011964,              0.0011964
                      4,                 1.4922,                 1.3883,                 1.8858,                0.35753,                 0.3961,                0.35208,                0.12888,                 2.2808,                  2.786,                 2.9051,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3895,                 1.2737,                 1.7716,                0.59974,                0.36637,                0.42719,                0.18139,                 2.0808,                 1.5353,                 2.6068,               0.001151,               0.001151,               0.001151
                      6,                 1.3335,                 1.1838,                 1.7072,                0.41994,                0.44007,                0.49031,                0.25559,                 2.0119,                 1.3943,                 2.4494,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2667,                  1.125,                 1.6566,                0.48802,                0.52669,                0.54232,                0.23911,                 2.2298,                  1.344,                 2.8603,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2409,                 1.0738,                 1.6246,                0.51492,                0.52546,                0.52952,                0.25198,                 1.9897,                  1.418,                 2.4861,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2101,                 1.0272,                 1.5943,                0.57912,                 0.6181,                0.62191,                0.23144,                 2.2116,                 1.3077,                 2.6648,               0.001052,               0.001052,               0.001052
                     10,                 1.1881,                0.99242,                  1.561,                0.53788,                0.46197,                0.55334,                 0.2246,                 2.1812,                 1.3471,                 2.4603,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1675,                0.95184,                 1.5417,                0.42636,                0.57407,                0.53283,                0.18706,                 2.4283,                 1.4851,                  3.118,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1448,                0.92904,                 1.5218,                0.42107,                0.48589,                 0.4473,                0.20987,                 2.3322,                  1.726,                 2.9135,             0.00097775,             0.00097775,             0.00097775
                     13,                  1.134,                0.90986,                 1.5133,                0.54959,                0.61916,                0.60178,                0.29162,                 1.9236,                 1.1861,                 2.2974,               0.000953,               0.000953,               0.000953
                     14,                 1.1175,                0.89574,                 1.5014,                0.60581,                0.39335,                0.44183,                0.19742,                 2.2323,                 1.5415,                 2.7305,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0994,                0.87306,                 1.4885,                0.67232,                0.53921,                0.65996,                0.29986,                 2.2768,                  1.227,                 2.7415,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0797,                0.85069,                 1.4656,                0.56628,                0.58729,                0.63463,                 0.2007,                 2.6199,                 1.1881,                 3.1378,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0692,                0.83367,                 1.4601,                0.57952,                0.52064,                0.60358,                0.24235,                 2.3227,                 1.2101,                 2.6127,               0.000854,               0.000854,               0.000854
                     18,                  1.049,                 0.8129,                 1.4399,                0.48117,                0.56841,                0.59858,                0.20581,                 2.6502,                 1.2298,                 3.0754,             0.00082925,             0.00082925,             0.00082925
                     19,                  1.034,                  0.793,                 1.4308,                0.52921,                0.54687,                0.61778,                0.21202,                  2.535,                 1.1821,                 2.9544,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0336,                0.77931,                 1.4253,                0.63561,                0.60534,                0.65283,                 0.2149,                  2.637,                 1.1444,                 3.0299,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0157,                0.76223,                 1.4158,                0.57953,                0.53127,                0.57725,                0.19796,                 2.6925,                 1.3152,                 3.4664,               0.000755,               0.000755,               0.000755
                     22,                 1.0151,                0.75959,                  1.416,                0.60077,                0.62562,                 0.6522,                0.23964,                 2.5598,                 1.0937,                 2.9342,             0.00073025,             0.00073025,             0.00073025
                     23,                0.99965,                 0.7417,                 1.4031,                0.50094,                0.57028,                0.59928,                0.22177,                 2.4134,                 1.1875,                 2.7618,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.0047,                0.74836,                 1.4043,                0.63945,                 0.5913,                0.63457,                0.23594,                 2.4544,                 1.0803,                 2.9792,             0.00068075,             0.00068075,             0.00068075
                     25,                0.98034,                 0.7263,                 1.3896,                0.57161,                0.57607,                0.61191,                0.22337,                 2.3961,                 1.1262,                 2.7979,               0.000656,               0.000656,               0.000656
                     26,                0.97374,                0.72339,                 1.3842,                0.65647,                0.62159,                0.67855,                0.24823,                 2.4586,                 1.1431,                 2.9797,             0.00063125,             0.00063125,             0.00063125
                     27,                0.96413,                0.70646,                 1.3774,                0.65059,                0.65257,                0.69839,                0.27416,                 2.4013,                 1.0403,                 2.8431,              0.0006065,              0.0006065,              0.0006065
                     28,                 0.9516,                0.69736,                 1.3639,                 0.6146,                0.63007,                0.68094,                0.22714,                 2.5421,                 1.1001,                 2.9039,             0.00058175,             0.00058175,             0.00058175
                     29,                0.94145,                0.67806,                 1.3577,                0.61675,                0.59792,                  0.634,                0.25525,                 2.2241,                 1.1779,                 2.7565,               0.000557,               0.000557,               0.000557
                     30,                0.94443,                0.68568,                 1.3624,                0.60474,                0.65721,                0.66841,                 0.2562,                 2.2317,                 1.1527,                 2.6462,             0.00053225,             0.00053225,             0.00053225
                     31,                0.93525,                0.67795,                 1.3488,                0.53849,                0.60498,                0.60897,                0.22307,                  2.433,                 1.1434,                 2.8506,              0.0005075,              0.0005075,              0.0005075
                     32,                0.92055,                0.65727,                 1.3414,                0.63082,                0.65844,                0.68044,                0.26538,                 2.4336,                 1.0591,                 2.8768,             0.00048275,             0.00048275,             0.00048275
                     33,                0.90727,                0.65215,                 1.3257,                 0.6064,                0.57865,                0.63674,                0.22571,                 2.5305,                 1.1379,                 2.9378,               0.000458,               0.000458,               0.000458
                     34,                0.90566,                0.64673,                 1.3252,                0.65915,                0.64111,                0.68134,                0.22521,                 2.5479,                 1.0628,                 3.0034,             0.00043325,             0.00043325,             0.00043325
                     35,                0.88805,                0.62509,                 1.3153,                0.65276,                0.58862,                0.64646,                0.22584,                 2.5502,                 1.0924,                 3.0166,              0.0004085,              0.0004085,              0.0004085
