                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0906,                 3.0032,                 3.7575,                0.00621,                0.64878,                0.04914,                0.01438,                 3.8726,                 3.6266,                 4.0719,             0.00041246,             0.00041246,             0.00041246
                      2,                 2.1473,                 1.9642,                 2.5837,                0.67675,                0.43561,                0.50109,                0.16363,                 2.4747,                  1.643,                 2.9606,             0.00081271,             0.00081271,             0.00081271
                      3,                 1.6644,                 1.5865,                 2.1008,                0.45355,                0.58674,                0.60652,                0.22101,                 2.1727,                 1.6025,                 2.6612,              0.0011965,              0.0011965,              0.0011965
                      4,                 1.4937,                 1.4368,                 1.9044,                0.56308,                0.59692,                  0.553,                0.18185,                 2.2792,                 1.6347,                  2.688,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4031,                 1.2937,                 1.7926,                0.77459,                0.74517,                0.77303,                 0.3735,                  1.807,                 1.1677,                 2.1593,               0.001151,               0.001151,               0.001151
                      6,                 1.3293,                 1.2171,                 1.7209,                0.68769,                0.74542,                0.71658,                0.27971,                 2.1202,                 1.2463,                 2.3788,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2782,                 1.1584,                 1.6853,                0.65979,                0.68814,                 0.6277,                0.21558,                 2.2013,                 1.4698,                 2.5549,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2456,                 1.0955,                 1.6532,                0.72166,                0.81781,                0.75864,                0.30642,                 1.9975,                 1.1785,                 2.2841,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2211,                 1.0564,                  1.612,                0.82046,                0.82024,                0.84175,                  0.349,                 1.9803,                 1.0535,                 2.2077,               0.001052,               0.001052,               0.001052
                     10,                 1.1964,                 1.0292,                 1.5894,                 0.7292,                0.72246,                0.71314,                0.30979,                 2.0667,                 1.1344,                  2.419,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1774,                0.98723,                  1.566,                0.84118,                0.85648,                0.84976,                0.40915,                 1.8798,                0.96925,                 2.0418,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1586,                0.97077,                 1.5535,                0.86919,                0.86344,                 0.8917,                0.45668,                  1.728,                0.96434,                 1.9934,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1375,                0.93997,                 1.5345,                0.76931,                0.73266,                0.77232,                0.41321,                 1.8124,                0.93545,                 2.0404,               0.000953,               0.000953,               0.000953
                     14,                 1.1158,                0.91965,                 1.5143,                0.81932,                0.82863,                0.86387,                0.42057,                 1.8281,                0.92941,                 2.0521,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0963,                0.89619,                 1.4973,                0.80219,                0.77418,                0.76698,                0.34376,                 2.2076,                  1.032,                   2.42,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0964,                0.87634,                 1.4919,                0.69594,                0.70646,                0.72247,                0.39264,                 1.9228,                 0.9939,                 2.1854,             0.00087875,             0.00087875,             0.00087875
