                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0371,                 2.7573,                 3.6559,                0.01651,                0.47285,                0.02314,                0.00639,                  3.791,                 4.4091,                 4.5556,             0.00041209,             0.00041209,             0.00041209
                      2,                 1.9159,                 1.7325,                 2.4375,                0.84217,                0.40302,                0.59531,                0.36952,                 1.7085,                 1.8738,                 2.3155,             0.00081235,             0.00081235,             0.00081235
                      3,                 1.5938,                  1.444,                 2.0394,                0.81255,                0.45399,                0.53712,                0.30492,                 1.6082,                 1.8633,                 2.2451,              0.0011961,              0.0011961,              0.0011961
                      4,                 1.4684,                  1.309,                 1.9009,                 0.6371,                0.62984,                0.63489,                0.30795,                 1.4899,                  1.806,                 2.0831,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3536,                 1.1675,                 1.7676,                0.64093,                0.66196,                0.67585,                0.39403,                 1.4575,                 1.2965,                 2.0455,               0.001151,               0.001151,               0.001151
                      6,                 1.3211,                 1.1202,                 1.7325,                0.64702,                0.61795,                0.59769,                0.24925,                 1.6855,                 1.7068,                 2.2404,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2698,                 1.0632,                 1.6855,                0.78285,                0.79979,                0.83932,                 0.5413,                 1.3794,                 1.0201,                 2.0095,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2326,                 1.0274,                  1.655,                0.80753,                0.72505,                 0.7856,                0.44097,                 1.4767,                 1.2417,                 2.0739,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2007,                0.98533,                 1.6242,                0.80308,                0.78064,                0.83631,                0.49205,                 1.4228,                 1.1128,                 1.9784,               0.001052,               0.001052,               0.001052
                     10,                  1.154,                0.92433,                 1.5874,                0.72438,                 0.7376,                 0.7846,                 0.4983,                 1.4189,                 1.0698,                 2.0033,              0.0010273,              0.0010273,              0.0010273
