                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88623,                0.60336,                 1.3498,                0.91573,                0.92779,                0.96459,                0.72506,                0.95294,                0.50553,                 1.5505,              0.0010396,              0.0010396,              0.0010396
                     36,                0.87919,                0.60355,                 1.3377,                0.92663,                0.93741,                0.97177,                0.73835,                0.92341,                0.48545,                 1.5213,              0.0010334,              0.0010334,              0.0010334
                     37,                0.87326,                0.59672,                 1.3374,                0.92791,                0.93687,                0.96764,                0.72945,                0.89346,                0.48307,                 1.4952,              0.0010273,              0.0010273,              0.0010273
                     38,                0.86387,                0.58444,                 1.3305,                0.92586,                0.92968,                0.96595,                0.73921,                0.87582,                0.51897,                 1.4659,              0.0010211,              0.0010211,              0.0010211
                     39,                0.85413,                0.58207,                 1.3273,                0.91552,                0.94245,                0.97323,                  0.757,                0.89747,                0.46778,                 1.4999,              0.0010149,              0.0010149,              0.0010149
                     40,                0.84671,                0.57332,                 1.3172,                0.92852,                0.95257,                 0.9715,                0.76411,                0.84849,                0.44486,                 1.4383,              0.0010087,              0.0010087,              0.0010087
                     41,                 0.8415,                0.56366,                 1.3142,                 0.9233,                0.94554,                0.96913,                0.74393,                0.89788,                0.46829,                 1.4894,              0.0010025,              0.0010025,              0.0010025
                     42,                0.84111,                0.56937,                 1.3121,                0.91102,                0.95708,                0.97262,                0.76907,                0.84525,                0.44479,                 1.4454,             0.00099631,             0.00099631,             0.00099631
                     43,                0.82593,                0.54994,                 1.2988,                0.94691,                0.93625,                0.97067,                0.75931,                0.84075,                0.44857,                 1.4292,             0.00099013,             0.00099013,             0.00099013
                     44,                0.82356,                0.55197,                 1.2953,                 0.9341,                0.93685,                0.97202,                0.76889,                0.84308,                0.43868,                 1.4442,             0.00098394,             0.00098394,             0.00098394
                     45,                0.81678,                0.54258,                 1.2944,                0.92276,                0.96057,                0.97561,                0.77615,                 0.8213,                 0.4482,                 1.4193,             0.00097775,             0.00097775,             0.00097775
                     46,                0.82206,                0.54533,                  1.298,                0.93121,                0.95598,                0.97154,                0.77549,                0.84471,                0.42963,                 1.4449,             0.00097156,             0.00097156,             0.00097156
                     47,                0.80898,                0.53516,                 1.2852,                0.92126,                0.95798,                0.96942,                0.77117,                0.79625,                0.42829,                 1.3817,             0.00096537,             0.00096537,             0.00096537
                     48,                0.80734,                0.53221,                 1.2779,                0.93017,                0.94907,                0.97426,                0.78437,                0.80365,                0.42245,                 1.3969,             0.00095919,             0.00095919,             0.00095919
                     49,                0.79581,                0.52523,                  1.277,                0.93679,                0.95771,                0.97434,                 0.7801,                0.80568,                 0.4246,                 1.4051,               0.000953,               0.000953,               0.000953
                     50,                 0.7836,                 0.5185,                 1.2638,                0.93745,                0.92153,                0.97264,                0.78852,                0.78542,                0.41868,                 1.3882,             0.00094681,             0.00094681,             0.00094681
                     51,                0.77619,                0.51456,                 1.2589,                0.92789,                0.94597,                0.97003,                0.76801,                0.82268,                0.43254,                 1.4068,             0.00094062,             0.00094062,             0.00094062
                     52,                0.77828,                0.51121,                 1.2595,                0.95058,                0.95862,                0.97673,                0.78424,                0.78589,                0.41427,                 1.3898,             0.00093444,             0.00093444,             0.00093444
                     53,                0.77431,                0.51485,                 1.2552,                0.95008,                0.94643,                0.97884,                0.78269,                0.79192,                0.42816,                 1.3849,             0.00092825,             0.00092825,             0.00092825
                     54,                0.76649,                0.49838,                  1.253,                0.94383,                0.95759,                0.97262,                0.79039,                0.77496,                0.39394,                 1.3554,             0.00092206,             0.00092206,             0.00092206
                     55,                 0.7639,                0.49818,                 1.2488,                0.95571,                0.94597,                0.97806,                0.80247,                0.74455,                0.39134,                  1.349,             0.00091588,             0.00091588,             0.00091588
                     56,                0.75577,                0.50135,                 1.2432,                 0.9513,                0.95604,                 0.9791,                0.80432,                0.75196,                0.39179,                 1.3455,             0.00090969,             0.00090969,             0.00090969
                     57,                0.74623,                0.49915,                 1.2401,                0.94308,                0.95293,                0.97733,                0.80675,                0.73684,                0.38546,                 1.3266,              0.0009035,              0.0009035,              0.0009035
                     58,                0.74691,                0.48501,                 1.2319,                0.92512,                0.97795,                0.97904,                0.80644,                0.73064,                0.37798,                 1.3272,             0.00089731,             0.00089731,             0.00089731
                     59,                0.73302,                0.47888,                 1.2225,                0.94823,                0.96506,                 0.9781,                0.81776,                0.71433,                0.37194,                 1.3097,             0.00089112,             0.00089112,             0.00089112
                     60,                0.72841,                0.47358,                 1.2188,                0.92949,                0.94732,                0.97224,                0.80946,                0.70533,                0.38895,                 1.2965,             0.00088494,             0.00088494,             0.00088494
                     61,                0.72595,                 0.4719,                 1.2179,                0.93097,                0.96477,                0.97646,                0.81041,                0.74592,                0.38118,                  1.331,             0.00087875,             0.00087875,             0.00087875
                     62,                0.71598,                0.46634,                 1.2148,                0.95212,                0.94369,                0.97961,                0.81795,                0.69528,                0.36299,                 1.2903,             0.00087256,             0.00087256,             0.00087256
                     63,                0.72001,                0.46195,                 1.2114,                0.93622,                0.97035,                0.97878,                0.82334,                 0.6943,                0.36068,                 1.2844,             0.00086637,             0.00086637,             0.00086637
                     64,                0.71399,                0.46606,                  1.211,                0.93884,                 0.9719,                0.97417,                0.80959,                0.71174,                0.36161,                 1.3056,             0.00086019,             0.00086019,             0.00086019
                     65,                0.70759,                0.45756,                 1.2001,                0.95386,                0.96184,                0.97769,                0.82406,                0.68745,                0.37261,                 1.2796,               0.000854,               0.000854,               0.000854
                     66,                0.70235,                0.45788,                 1.2021,                0.94458,                0.95671,                0.97437,                0.81574,                0.68398,                0.36589,                 1.2714,             0.00084781,             0.00084781,             0.00084781
                     67,                 0.6934,                0.44971,                 1.1879,                0.94242,                0.96151,                0.97875,                0.82684,                0.67356,                0.35852,                 1.2599,             0.00084162,             0.00084162,             0.00084162
                     68,                0.69355,                0.45013,                 1.1928,                0.93847,                0.96945,                0.98096,                0.81779,                0.69425,                0.35201,                 1.2857,             0.00083544,             0.00083544,             0.00083544
                     69,                0.68643,                0.44016,                 1.1767,                0.95618,                0.96155,                0.97761,                0.82767,                0.65797,                0.34089,                  1.251,             0.00082925,             0.00082925,             0.00082925
                     70,                0.67997,                0.44279,                 1.1776,                0.93957,                0.96845,                0.98192,                0.83556,                0.64886,                0.34192,                 1.2401,             0.00082306,             0.00082306,             0.00082306
                     71,                0.67358,                0.43194,                 1.1727,                0.95526,                0.96016,                0.97824,                0.83723,                0.66085,                 0.3273,                 1.2509,             0.00081688,             0.00081688,             0.00081688
                     72,                0.68096,                0.43611,                 1.1857,                0.95607,                0.96263,                0.98026,                 0.8305,                0.67058,                 0.3364,                 1.2562,             0.00081069,             0.00081069,             0.00081069
                     73,                 0.6773,                0.44051,                 1.1791,                 0.9546,                0.96398,                0.98177,                 0.8329,                0.65605,                0.32677,                 1.2472,              0.0008045,              0.0008045,              0.0008045
                     74,                0.67963,                0.43023,                 1.1739,                 0.9544,                0.95776,                0.97948,                0.83835,                0.65078,                0.33426,                 1.2358,             0.00079831,             0.00079831,             0.00079831
                     75,                0.66004,                 0.4212,                 1.1585,                0.95494,                0.95569,                0.97419,                0.83618,                0.64138,                 0.3311,                 1.2352,             0.00079213,             0.00079213,             0.00079213
                     76,                0.66027,                 0.4245,                 1.1655,                0.93887,                 0.9708,                0.97989,                0.84526,                0.61918,                0.32238,                 1.2153,             0.00078594,             0.00078594,             0.00078594
                     77,                0.66173,                0.42288,                 1.1671,                0.93921,                0.96728,                0.97372,                0.83168,                0.63532,                0.32446,                 1.2366,             0.00077975,             0.00077975,             0.00077975
                     78,                0.66036,                0.41972,                 1.1644,                0.94301,                0.96112,                0.97453,                0.82972,                0.63878,                0.33537,                 1.2251,             0.00077356,             0.00077356,             0.00077356
                     79,                0.64306,                0.41422,                 1.1558,                0.95258,                0.94986,                0.97783,                0.84246,                0.61633,                0.31579,                 1.2055,             0.00076738,             0.00076738,             0.00076738
                     80,                0.64763,                0.41164,                 1.1563,                0.94451,                0.96344,                 0.9827,                0.84227,                0.63489,                0.33126,                 1.2165,             0.00076119,             0.00076119,             0.00076119
                     81,                0.64595,                0.41292,                 1.1471,                0.95629,                0.96276,                0.97882,                0.85001,                0.62325,                0.32018,                 1.2177,               0.000755,               0.000755,               0.000755
                     82,                0.63244,                0.40892,                 1.1368,                0.94473,                0.97153,                 0.9813,                0.84265,                0.62229,                0.32565,                 1.2193,             0.00074881,             0.00074881,             0.00074881
                     83,                0.63407,                0.40296,                 1.1432,                 0.9499,                0.95548,                0.98187,                0.85971,                0.60473,                0.30755,                 1.1934,             0.00074263,             0.00074263,             0.00074263
                     84,                0.62964,                0.40289,                 1.1465,                0.94942,                0.96417,                0.98084,                0.85138,                0.60916,                0.30978,                 1.2025,             0.00073644,             0.00073644,             0.00073644
                     85,                 0.6292,                0.40176,                 1.1441,                0.94117,                0.96911,                0.97694,                0.85129,                0.61183,                0.30866,                 1.2046,             0.00073025,             0.00073025,             0.00073025
                     86,                 0.6291,                0.40273,                  1.138,                0.94029,                0.97277,                 0.9826,                 0.8563,                0.60196,                0.30339,                 1.1922,             0.00072406,             0.00072406,             0.00072406
                     87,                 0.6187,                0.39587,                 1.1371,                0.95355,                0.96349,                 0.9834,                0.86049,                0.58586,                0.30018,                 1.1835,             0.00071788,             0.00071788,             0.00071788
                     88,                0.61929,                0.39492,                 1.1318,                0.95976,                0.96137,                0.98102,                0.85278,                0.59964,                0.30155,                 1.1978,             0.00071169,             0.00071169,             0.00071169
                     89,                0.61211,                0.39509,                 1.1297,                0.93365,                0.97706,                0.97999,                0.86675,                0.57537,                0.29318,                 1.1702,              0.0007055,              0.0007055,              0.0007055
                     90,                0.60623,                0.38745,                 1.1203,                0.94964,                0.97002,                0.97688,                0.85923,                0.56675,                 0.2889,                 1.1571,             0.00069931,             0.00069931,             0.00069931
                     91,                0.60452,                0.38194,                 1.1181,                0.93712,                0.96858,                0.97937,                0.86169,                0.56899,                0.29946,                 1.1602,             0.00069313,             0.00069313,             0.00069313
                     92,                0.59518,                0.37938,                 1.1142,                0.94935,                0.97013,                0.98023,                0.87187,                0.56451,                0.29185,                 1.1624,             0.00068694,             0.00068694,             0.00068694
                     93,                0.60662,                0.38288,                 1.1224,                0.94781,                 0.9759,                0.98007,                0.86912,                0.55868,                0.28474,                 1.1489,             0.00068075,             0.00068075,             0.00068075
                     94,                 0.5983,                0.38573,                 1.1211,                0.95504,                0.96943,                0.97901,                0.87015,                0.56264,                0.28978,                 1.1513,             0.00067456,             0.00067456,             0.00067456
                     95,                0.59073,                 0.3735,                 1.1065,                0.95449,                0.96397,                0.98362,                 0.8694,                0.56317,                0.28598,                  1.156,             0.00066838,             0.00066838,             0.00066838
                     96,                 0.5949,                0.37912,                 1.1102,                0.96081,                 0.9609,                0.97753,                0.86151,                0.56406,                 0.2843,                 1.1546,             0.00066219,             0.00066219,             0.00066219
                     97,                0.58679,                0.37291,                  1.108,                0.94575,                0.97272,                 0.9833,                0.87797,                0.54618,                0.28359,                 1.1337,               0.000656,               0.000656,               0.000656
                     98,                0.58329,                0.37292,                  1.104,                0.96004,                0.96848,                0.98033,                0.87083,                0.54204,                0.28372,                 1.1356,             0.00064981,             0.00064981,             0.00064981
                     99,                0.58125,                0.37143,                 1.1058,                0.95777,                0.96796,                0.98226,                0.87838,                0.54449,                 0.2761,                 1.1361,             0.00064362,             0.00064362,             0.00064362
                    100,                0.58366,                0.37226,                 1.1075,                0.95883,                0.96829,                0.98357,                0.87547,                0.53985,                0.27435,                 1.1303,             0.00063744,             0.00063744,             0.00063744
                    101,                 0.5733,                0.36306,                 1.0954,                0.94133,                0.97609,                0.98367,                0.87211,                0.54443,                0.28048,                 1.1349,             0.00063125,             0.00063125,             0.00063125
                    102,                0.56618,                0.36232,                 1.0951,                0.95802,                0.97395,                0.98376,                0.87964,                0.53959,                0.27054,                 1.1271,             0.00062506,             0.00062506,             0.00062506
                    103,                 0.5692,                0.36189,                 1.0915,                0.95376,                0.96894,                0.98515,                0.88613,                0.53412,                0.27192,                 1.1225,             0.00061887,             0.00061887,             0.00061887
